"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2023","65,000","64,300","65,000","64,000","6.64K","1.25%"
"12/11/2023","64,200","64,600","65,000","64,200","1.71K","-0.62%"
"12/08/2023","64,600","64,500","65,000","64,500","3.33K","0.47%"
"12/07/2023","64,300","64,500","65,100","64,300","7.02K","0.00%"
"12/06/2023","64,300","64,200","65,300","64,200","5.08K","-0.31%"
"12/05/2023","64,500","64,100","64,500","64,000","1.20K","-0.15%"
"12/04/2023","64,600","65,500","65,500","64,500","7.22K","0.16%"
"12/01/2023","64,500","64,500","64,500","64,400","16.17K","0.78%"
"11/30/2023","64,000","63,700","64,100","63,700","1.90K","0.47%"
"11/29/2023","63,700","63,500","64,000","63,500","6.21K","-0.47%"
"11/28/2023","64,000","64,900","64,900","64,000","0.60K","-0.31%"
"11/27/2023","64,200","64,200","64,200","64,000","0.79K","0.31%"
"11/24/2023","64,000","64,500","64,900","64,000","4.81K","-1.39%"
"11/23/2023","64,900","65,000","65,900","64,900","4.15K","0.00%"
"11/22/2023","64,900","64,500","65,000","64,500","9.70K","0.78%"
"11/21/2023","64,400","64,000","64,400","64,000","1.91K","0.63%"
"11/20/2023","64,000","63,500","64,000","63,500","6.39K","0.00%"
"11/17/2023","64,000","65,000","65,000","64,000","5.34K","-0.78%"
"11/16/2023","64,500","65,000","65,000","64,100","2.91K","0.78%"
"11/15/2023","64,000","64,500","68,200","64,000","28.90K","3.23%"
"11/14/2023","62,000","61,900","63,000","61,900","16.28K","1.64%"
"11/13/2023","61,000","60,700","61,400","60,700","1.60K","0.49%"
"11/10/2023","60,700","61,900","61,900","60,700","3.22K","-0.98%"
"11/09/2023","61,300","61,400","61,900","61,200","2.83K","-0.16%"
"11/08/2023","61,400","61,800","61,800","60,500","5.70K","0.82%"
"11/07/2023","60,900","61,000","61,200","60,900","2.00K","-0.33%"
"11/06/2023","61,100","61,400","61,600","61,000","4.42K","-0.81%"
"11/03/2023","61,600","61,000","62,800","60,000","2.89K","0.33%"
"11/02/2023","61,400","61,100","62,300","61,000","6.61K","0.66%"
"11/01/2023","61,000","60,300","61,000","60,000","4.24K","1.16%"
"10/31/2023","60,300","61,000","62,000","60,200","10.82K","-1.15%"
"10/30/2023","61,000","61,900","62,000","61,000","4.75K","-1.61%"
"10/27/2023","62,000","60,500","66,000","59,000","12.74K","2.48%"
"10/26/2023","60,500","59,000","60,800","58,700","16.00K","-0.66%"
"10/25/2023","60,900","61,000","61,000","58,000","11.40K","-0.16%"
"10/24/2023","61,000","61,300","61,300","60,000","3.39K","-0.49%"
"10/23/2023","61,300","61,500","61,500","60,000","12.32K","-0.65%"
"10/20/2023","61,700","61,700","62,300","61,400","5.11K","0.00%"
"10/19/2023","61,700","61,500","62,500","61,200","9.35K","0.82%"
"10/18/2023","61,200","62,700","63,000","61,200","8.26K","-2.39%"
"10/17/2023","62,700","62,700","63,100","62,500","5.25K","0.16%"
"10/16/2023","62,600","63,200","63,200","62,600","5.27K","-0.48%"
"10/13/2023","62,900","63,200","63,900","62,700","11.99K","-0.63%"
"10/12/2023","63,300","63,100","64,000","63,100","5.10K","0.48%"
"10/11/2023","63,000","62,000","65,000","62,000","7.60K","1.61%"
"10/10/2023","62,000","60,500","62,500","60,500","17.51K","3.33%"
"10/09/2023","60,000","58,600","60,000","58,500","10.26K","2.56%"
"10/06/2023","58,500","58,500","58,700","57,500","7.51K","-0.51%"
"10/05/2023","58,800","60,000","60,000","58,800","13.60K","-2.00%"
"10/04/2023","60,000","60,000","60,100","59,000","7.10K","0.00%"
"10/03/2023","60,000","61,700","61,700","57,900","43.70K","-2.76%"
"10/02/2023","61,700","62,000","62,000","61,700","3.87K","0.00%"
"09/29/2023","61,700","62,300","62,300","60,000","10.34K","3.87%"
"09/28/2023","59,400","59,200","61,000","59,000","12.14K","0.34%"
"09/27/2023","59,200","60,600","60,600","58,000","37.96K","-2.31%"
"09/26/2023","60,600","64,500","64,500","60,300","37.17K","-1.94%"
"09/25/2023","61,800","64,800","64,800","61,800","30.41K","-4.92%"
"09/22/2023","65,000","65,200","66,500","62,800","77.02K","-4.41%"
"09/21/2023","68,000","68,800","68,800","67,500","3.60K","0.00%"
"09/20/2023","68,000","68,100","68,100","67,000","3.72K","-0.15%"
"09/19/2023","68,100","69,000","69,000","68,100","0.72K","0.15%"
"09/18/2023","68,000","69,000","69,000","68,000","3.70K","-1.45%"
"09/15/2023","69,000","67,100","69,000","67,100","1.11K","1.47%"
"09/14/2023","68,000","68,200","68,200","67,100","3.70K","-0.29%"
"09/13/2023","68,200","68,200","69,000","67,500","2.72K","0.00%"
"09/12/2023","68,200","69,000","69,000","68,100","4.46K","-0.15%"
"09/11/2023","68,300","68,800","69,000","68,300","6.39K","-1.16%"
"09/08/2023","69,100","69,800","70,000","69,000","3.88K","-1.29%"
"09/07/2023","70,000","71,000","71,000","69,000","6.30K","-0.99%"
"09/06/2023","70,700","70,000","70,700","70,000","6.60K","1.00%"
"09/05/2023","70,000","69,600","73,700","65,600","19.43K","1.60%"
"08/31/2023","68,900","68,000","68,900","64,000","16.22K","1.32%"
"08/30/2023","68,000","70,000","70,100","66,500","4.63K","-2.86%"
"08/29/2023","70,000","69,000","71,000","69,000","8.86K","2.19%"
"08/28/2023","68,500","64,900","69,500","64,900","23.62K","5.87%"
"08/25/2023","64,700","63,200","65,000","63,200","4.96K","2.37%"
"08/24/2023","63,200","63,100","63,400","63,100","3.13K","-0.47%"
"08/23/2023","63,500","63,000","63,500","63,000","2.21K","-0.63%"
"08/22/2023","63,900","64,800","64,800","62,000","5.47K","1.43%"
"08/21/2023","63,000","63,600","63,600","62,600","3.87K","-0.94%"
"08/18/2023","63,600","64,500","65,500","63,600","11.88K","-2.90%"
"08/17/2023","65,500","65,000","65,500","65,000","7.70K","-0.46%"
"08/16/2023","65,800","66,000","66,000","65,200","2.77K","-0.30%"
"08/15/2023","66,000","66,000","66,100","64,300","2.40K","-0.15%"
"08/14/2023","66,100","66,000","66,200","64,500","12.51K","0.15%"
"08/11/2023","66,000","66,000","66,000","65,500","6.80K","-0.30%"
"08/10/2023","66,200","66,900","66,900","66,200","0.70K","0.15%"
"08/09/2023","66,100","66,000","67,000","66,000","2.80K","0.15%"
"08/08/2023","66,000","60,300","67,800","60,300","10.41K","-1.35%"
"08/07/2023","66,900","66,100","67,100","66,100","6.80K","1.06%"
"08/04/2023","66,200","66,000","66,500","66,000","6.54K","-0.45%"
"08/03/2023","66,500","67,600","67,700","65,000","5.30K","-1.04%"
"08/02/2023","67,200","67,000","67,400","67,000","7.78K","-1.18%"
"08/01/2023","68,000","68,000","68,300","68,000","17.44K","1.49%"
"07/31/2023","67,000","66,400","67,500","66,400","3.80K","-0.59%"
"07/28/2023","67,400","67,700","68,000","66,900","7.41K","-0.88%"
"07/27/2023","68,000","68,000","68,300","67,600","10.65K","0.00%"
"07/26/2023","68,000","69,000","69,000","68,000","7.64K","-1.31%"
"07/25/2023","68,900","68,600","68,900","68,200","11.50K","1.32%"
"07/24/2023","68,000","69,000","69,000","66,000","28.71K","-1.45%"
"07/21/2023","69,000","71,800","72,000","69,000","30.53K","-3.90%"
"07/20/2023","71,800","72,400","73,200","71,800","6.36K","-0.83%"
"07/19/2023","72,400","72,400","73,200","71,500","20.40K","0.56%"
"07/18/2023","72,000","73,800","74,000","71,100","19.71K","-1.91%"
"07/17/2023","73,400","72,400","75,000","72,200","22.57K","1.66%"
"07/14/2023","72,200","76,000","76,000","72,200","42.00K","-6.84%"
"07/13/2023","77,500","79,500","79,500","74,000","22.90K","-2.52%"
"07/12/2023","79,500","80,800","80,800","75,000","100.78K","8.16%"
"07/11/2023","73,500","73,500","73,500","73,500","18.28K","9.90%"
"07/10/2023","66,880","66,880","66,880","61,200","214.78K","-56.00%"
"07/07/2023","152,000","139,700","153,700","139,700","44.61K","8.73%"
"07/06/2023","139,800","147,600","147,800","138,000","41.11K","-5.22%"
"07/05/2023","147,500","157,000","157,000","145,000","22.60K","-1.54%"
"07/04/2023","149,800","158,000","160,000","148,000","28.77K","-4.89%"
"07/03/2023","157,500","153,000","166,100","153,000","24.99K","4.30%"
"06/30/2023","151,000","153,500","155,000","151,000","12.30K","-0.92%"
"06/29/2023","152,400","150,000","156,000","149,000","13.02K","1.67%"
"06/28/2023","149,900","146,000","159,500","146,000","30.77K","2.81%"
"06/27/2023","145,800","143,000","145,800","135,200","1.65K","1.96%"
"06/26/2023","143,000","145,000","145,000","143,000","0.31K","-1.38%"
"06/23/2023","145,000","134,800","145,000","134,800","2.56K","7.57%"
"06/22/2023","134,800","132,000","144,900","129,000","9.61K","-5.93%"
"06/21/2023","143,300","146,000","146,000","134,100","10.40K","-3.83%"
"06/20/2023","149,000","135,000","150,000","135,000","1.32K","2.76%"
"06/19/2023","145,000","118,900","145,200","118,900","15.23K","9.85%"
"06/16/2023","132,000","117,000","132,000","117,000","1.01K","6.45%"
"06/15/2023","124,000","110,600","124,000","110,600","0.21K","0.98%"
"06/14/2023","122,800","119,500","124,900","119,500","0.40K","5.95%"
"06/09/2023","115,900","115,100","115,900","115,100","0.31K","0.00%"
